HumanGeneName	MouseGeneName
INHA	Inha
CFAP45	Cfap45
GRIN1	Grin1
INKA1	Inka1
YWHAB	Ywhab
HYOU1	Hyou1
SGK1	Sgk1
GARS1	Gars
PIH1D1	Pih1d1
EIF4EBP1	Eif4ebp1
COLGALT2	Colgalt2
BSDC1	Bsdc1
EWSR1	Ewsr1
GRHPR	Grhpr
HSD11B2	Hsd11b2
TALDO1	Taldo1
UBA1	Uba1
HSPA9	Hspa9
GPX3	Gpx3
GTF3C5	Gtf3c5
PCBD1	Pcbd1
PCK2	Pck2
HSPA12B	Hspa12b
CHTF8	Chtf8
ALDH5A1	Aldh5a1
HCRTR2	Hcrtr2
DRP2	Drp2
UTRN	Utrn
ERCC6	Ercc6
ARL6IP4	Arl6ip4
ACKR3	Ackr3
CYCS	Cycs
LRRFIP1	Lrrfip1
ACKR4	Ackr4
CCR9	Ccr9
XCR1	Xcr1
CXCR3	Cxcr3
SRC	Src
SAG	Sag
ANKRD37	Ankrd37
PDLIM2	Pdlim2
SORBS2	Sorbs2
PDLIM4	Pdlim4
GNB1	Gnb1
SERINC1	Serinc1
RGS5	Rgs5
GNGT1	Gngt1
GNG11	Gng11
RPL12	Rpl12
RPL6	Rpl6
EIF5	Eif5
TRPV4	Trpv4
CRYBA2	Cryba2
CRYBA1	Cryba1
NR2E1	Nr2e1
NR2E3	Nr2e3
CRYBA4	Cryba4
MIP	Mip
RPL7A	Rpl7a
RPL4	Rpl4
PPDPF	Ppdpf
NAP1L2	Nap1l2
NAP1L3	Nap1l3
NAP1L1	Nap1l1
LAPTM4B	Laptm4b
CABP5	Cabp5
CDO1	Cdo1
PDE6H	Pde6h
ROM1	Rom1
PDE6C	Pde6c
GOT1	Got1
GNB3	Gnb3
RPS2	Rps2
RPL11	Gm10036
LCTL	Lctl
GRIFIN	Grifin
NCALD	Ncald
BFSP2	Bfsp2
STMN1	Stmn1
OAZ2	Oaz2
RXRA	Rxra
FIBIN	Fibin
HS2ST1	Hs2st1
CAMK2G	Camk2g
PLOD2	Plod2
PLOD1	Plod1
PPM1E	Ppm1e
RPLP2	Rplp2
DRGX	Prrxl1
TAMALIN	Tamalin
SETX	Setx
ALS2	Als2
KCNH1	Kcnh1
BHLHE40	Bhlhe40
NOL8	Nol8
RNF217	Rnf217
TPD52L1	Tpd52l1
HDDC2	Hddc2
YJEFN3	Yjefn3
NDUFA13	Ndufa13
PEDS1	Peds1
FAM214A	Fam214a
TIPARP	Tiparp
PPP1R15B	Ppp1r15b
FREM1	Frem1
ZBTB18	Zbtb18
TULP4	Tulp4
TMEM181	Tmem181a
GABBR2	Gabbr2
TMPRSS9	Tmprss9
MYLK4	Mylk4
SHISA7	Shisa7
TMEM238	Tmem238
CDK6	Cdk6
HAPLN4	Hapln4
TM6SF2	Tm6sf2
TM6SF1	Tm6sf1
TUFT1	Tuft1
UBAP2L	Ubap2l
AQP5	Aqp5
AQP2	Aqp2
AQP6	Aqp6
AQP9	Aqp9
FPR2	Fpr-rs6
FPR1	Fpr1
USF2	Usf2
FFAR3	Ffar3
FFAR2	Ffar2
CITED4	Cited4
RIPOR2	Ripor2
ACOT13	Acot13
TMEM64	Tmem64
KIAA0895	9530077C05Rik
CHTOP	Chtop
SNAPIN	Snapin
SPHKAP	Sphkap
IRF2BP1	Irf2bp1
SLC19A3	Slc19a3
DAW1	Daw1
BORCS6	Borcs6
TMEM115	Tmem115
EFHD2	Efhd2
TAF10	Taf10
S100A13	S100a13
S100A14	S100a14
SEMA4A	Sema4a
GZMM	Gzmm
MICOS13	Micos13
SIAE	Siae
CLASRP	Clasrp
FAR2	Far2
FRS2	Frs2
CIBAR1	Cibar1
LRRC47	Lrrc47
TOP2B	Top2b
SLC8A2	Slc8a2
ACSL3	Acsl3
KCNE4	Kcne4
MRPL3	Mrpl3
PTPN23	Ptpn23
CSPG5	Cspg5
PIP5K1C	Pip5k1c
BBIP1	Bbip1
ANLN	Anln
COL8A2	Col8a2
ATP9B	Atp9b
OMD	Omd
NFATC1	Nfatc1
KAT2B	Kat2b
LRP12	Lrp12
VWF	Vwf
HS6ST3	Hs6st3
NEFM	Nefm
TNXB	Tnxb
BHLHE41	Bhlhe41
ETV1	Etv1
MAPK4	Mapk4
URAHP	Urah
SESN2	Sesn2
MAPK6	Mapk6
CHD2	Chd2
TEX45	Tex45
GPR3	Gpr3
KCNN1	Kcnn1
KCNN2	Kcnn2
FAM169B	Fam169b
POLR2I	Polr2i
PAG1	Pag1
TAX1BP1	Tax1bp1
JAZF1	Jazf1
TLE2	Tle2
GNA15	Gna15
GNA11	Gna11
ZNF592	Zfp592
CILP2	Cilp2
LONP2	Lonp2
N4BP1	N4bp1
SYVN1	Syvn1
CIRBP	Cirbp
HPSE	Hpse
HELQ	Helq
MRPS18C	Mrps18c
ABRAXAS1	Abraxas1
SPATA46	Spata46
GALNT12	Galnt12
GALNT4	Galnt4
RBCK1	Rbck1
BLOC1S1	Bloc1s1
GLS2	Gls2
NTAQ1	Wdyhv1
CASD1	Casd1
ASB13	Asb13
ANKRD16	Ankrd16
PCLO	Pclo
ATP6AP2	Atp6ap2
KIAA1614	BC034090
LAMA3	Lama3
CHKA	Chka
QPCTL	Qpctl
SIPA1L3	Sipa1l3
TENT5B	Tent5b
GON4L	Gon4l
TPM4	Tpm4
BBS10	Bbs10
SYT1	Syt1
TMEM253	Tmem253
GPCPD1	Gpcpd1
TERB1	Terb1
NPR1	Npr1
NPR2	Npr2
PDZK1IP1	Pdzk1ip1
KIF14	Kif14
HYAL2	Hyal2
TUSC2	Tusc2
RAD54L2	Rad54l2
BAP1	Bap1
SHISA5	Shisa5
SLC24A1	Slc24a1
ATRIP	Atrip
RIPOR1	Ripor1
NUDT14	Nudt14
RPS16	Rps16
EDIL3	Edil3
ANKRD24	Ankrd24
SHC2	Shc2
CKS2	Cks2
MTOR	Mtor
SOCS3	Socs3
NOX1	Nox1
ZBTB33	Zbtb33
FKRP	Fkrp
ATP1B4	Atp1b4
TMEM255A	Tmem255a
ASAH1	Asah1
GFPT1	Gfpt1
GATAD2A	Gatad2a
RASGRP4	Rasgrp4
TMEM54	Tmem54
STYK1	Styk1
CLCN1	Clcn1
FAM131B	Fam131b
TINAGL1	Tinagl1
AEBP2	Aebp2
FUCA1	Fuca1
RAB3B	Rab3b
NRDC	Nrd1
AXDND1	Axdnd1
TDRD5	Tdrd5
HCN3	Hcn3
KIAA1549L	D430041D05Rik
C18orf21	2700062C07Rik
SSUH2	Ssu2
MFSD6	Mfsd6
ELP2	Elp2
TMEM168	Tmem168
IFRD1	Ifrd1
ZBTB37	Zbtb37
RC3H1	Rc3h1
EPS15L1	Eps15l1
KITLG	Kitl
DRD4	Drd4
G6PD	G6pd2
DPYS	Dpys
GHR	Ghr
FNDC3B	Fndc3b
HCST	Hcst
TYROBP	Tyrobp
FCER1G	Fcer1g
CD247	Cd247
PRKCZ	Prkcz
SH3PXD2B	Sh3pxd2b
WDR4	Wdr4
ISOC2	Isoc2b
MIB2	Mib2
P3H3	P3h3
TFB2M	Tfb2m
EFCAB2	Efcab2
KIF13B	Kif13b
APLN	Apln
AHCTF1	Ahctf1
GBA2	Gba2
LRP11	Lrp11
IMMP1L	Immp1l
NOSTRIN	Nostrin
FRMD3	Frmd3
DRD1	Drd1
AMOTL2	Amotl2
FOXL1	Foxl1
PEX2	Pex2
XPO1	Xpo1
PEX1	Pex1
TPRG1L	Tprgl
HRH1	Hrh1
HRH2	Hrh2
BTK	Btk
GHRH	Ghrh
CDC26	Cdc26
CDC16	Cdc16
STRN4	Strn4
SLC1A5	Slc1a5
TCAP	Tcap
TRIM32	Trim32
EMD	Emd
COL6A1	Col6a1
COL6A2	Col6a2
COL6A3	Col6a3
FSD1L	Fsd1l
ARHGAP18	Arhgap18
THTPA	Thtpa
LAMA2	Lama2
CCDC125	Ccdc125
ARHGEF11	Arhgef11
ITPR1	Itpr1
ITPR2	Itpr2
ITPR3	Itpr3
FADD	Fadd
PLXNA3	Plxna3
PNRC2	Pnrc2
CMYA5	Cmya5
WRN	Wrn
PURG	Purg
APOB	Apob
APEX1	Apex1
BMPR2	Bmpr2
MTUS1	Mtus1
DAGLA	Dagla
PMS2	Pms2
ANKZF1	Ankzf1
GRHL1	Grhl1
ANKRD28	Ankrd28
NKX6-2	Nkx6-2
MARK1	Mark1
MED10	Med10
SNX10	Snx10
NOL9	Nol9
KIF5B	Kif5b
LSM8	Lsm8
EPC1	Epc1
NBR1	Nbr1
IPO13	Ipo13
UBR3	Ubr3
TMEM106A	Tmem106a
DAAM2	Daam2
CEL	Cel
ALX4	Alx4
CRTC3	Crtc3
LIMD1	Limd1
MICU3	Micu3
EPHB2	Ephb2
NRBP2	Nrbp2
AMPD2	Ampd2
GNAI3	Gnai3
ANG	Ang6
RNASE4	Rnase4
RNASE2	Ear14
RNASE12	Rnase12
RNASE1	Rnase1
RNASE6	Rnase6
GPC2	Gpc2
PRCC	Prcc
MINDY1	Mindy1
RFX5	Rfx5
MRPL9	Mrpl9
S100A11	S100a11
OCA2	Oca2
HERC2	Herc2
ENKUR	Enkur
SUOX	Suox
TYRP1	Tyrp1
AMER1	Amer1
FXYD6	Fxyd6
XDH	Xdh
PTS	Pts
COLGALT1	Colgalt1
QDPR	Qdpr
FHIT	Fhit
CYP2U1	Cyp2u1
SGMS2	Sgms2
CDKN1A	Cdkn1a
SIRT1	Sirt1
DNAJC12	Dnajc12
HEPHL1	Hephl1
EDEM3	Edem3
HERC4	Herc4
NID1	Nid1
TGS1	Tgs1
MLPH	Mlph
BHLHA15	Bhlha15
OR4L1	Olfr724
OR4F6	Olfr1310
OR6K6	Olfr231
LOX	Lox
CCNH	Ccnh
LOXL2	Gm21451
LOXL3	Loxl3
CDK7	Cdk7
MMP16	Mmp16
CHRNB2	Chrnb2
CHRNB1	Chrnb1
GRIK4	Grik4
GRIK5	Grik5
CLDN8	Cldn8
CHRNA3	Chrna3
EMP1	Emp1
GRIN2C	Grin2c
TMEM104	Tmem104
RIPK1	Ripk1
TIMP4	Timp4
NR4A3	Nr4a3
EFCAB6	Efcab6
DIPK2A	Dipk2a
TRPC1	Trpc1
IL22RA2	Il22ra2
SPATA2	Spata2
NPHP4	Nphp4
IL10RA	Il10ra
CEP78	Cep78
INTS6	Ints6
C1QTNF2	C1qtnf2
SFT2D3	Sft2d3
TMEM150A	Tmem150a
MKKS	Mkks
RNPC3	Rnpc3
GTF2A1	Gtf2a1
MARCKSL1	Marcksl1
CXCL11	Cxcl11
ENTPD4	Entpd4b
DOP1B	Dop1b
RDH10	Rdh10
PPP1R14A	Ppp1r14a
SNF8	Snf8
CA7	Car7
GLRX	Glrx
ATP6V1G1	Atp6v1g1
ATP6V1G2	Atp6v1g2
ATP6V1G3	Atp6v1g3
KPNA2	Kpna2
KPNA4	Kpna4
MAP3K3	Map3k3
RBM4B	Rbm4b
RBM4	Rbm4
AKAP12	Akap12
MYH10	Myh10
XRCC6	Xrcc6
SCN4B	Scn4b
TAS1R2	Tas1r2
TAS1R3	Tas1r3
TAS2R14	Tas2r115
TAS2R38	Tas2r138
TAS2R19	Tas2r136
TAS2R7	Tas2r130
TAS2R39	Tas2r139
TAS2R3	Tas2r137
TAS2R4	Tas2r108
TAS2R40	Tas2r144
TAS2R41	Tas2r126
RYR1	Ryr1
RYR2	Ryr2
ADAM8	Adam8
RNF111	Rnf111
ADAM11	Adam11
ADAM12	Adam12
DCST1	Dcst1
VEGFD	Vegfd
NKX6-3	Nkx6-3
HMBS	Hmbs
TBK1	Tbk1
ADAM33	Adam33
ADAM19	Adam19
ADAMTS1	Adamts1
ADAMTS13	Adamts13
ADAMTS18	Adamts18
GHRL	Ghrl
TARS2	Tars2
PAPLN	Papln
CRHBP	Crhbp
THSD4	Thsd4
ADAMTS2	Adamts2
MMP11	Mmp11
MMP15	Mmp15
MMP17	Mmp17
CLSTN2	Clstn2
SPSB4	Spsb4
FXYD3	Fxyd3
FXYD4	Fxyd4
SMTN	Smtn
SCN1B	Scn1b
SCN2B	Scn2b
SCN3B	Scn3b
EGF	Egf
TJP1	Tjp1
APBA1	Apba1
TJP2	Tjp2
DCLK2	Dclk2
C11orf65	4930550C14Rik
ANKK1	Ankk1
FDX1	Fdx1
DEK	Dek
TTC12	Ttc12
CYSLTR2	Cysltr2
RCBTB2	Rcbtb2
MAPKAPK2	Mapkapk2
PDZRN3	Pdzrn3
DDX10	Ddx10
GPR27	Gpr27
GOLGA1	Golga1
NFKBIZ	Nfkbiz
SLC6A8	Slc6a8
CAPZA1	Capza1
SIRT6	Sirt6
HENMT1	Henmt1
NRSN2	Nrsn2
NRSN1	Nrsn1
LPCAT1	Lpcat1
NPVF	Npvf
GGNBP2	Ggnbp2
OLFML3	Olfml3
NES	Nes
IFNLR1	Ifnlr1
IRF3	Irf3
TRAF2	Traf2
TRAF5	Traf5
TRAF1	Traf1
RHOT1	Rhot1
RHOBTB2	Rhobtb2
LRRN1	Lrrn1
AIDA	Aida
HHIP	Hhip
RNMT	Rnmt
SEPTIN4	Septin4
IFNA1	Ifna14
IFNW1	Gm13271
IFNK	Ifnk
IFNB1	Ifnb1
IFNA10	Ifna5
IFNE	Ifne
NKD2	Nkd2
DCTN2	Dctn2
PAFAH1B1	Pafah1b1
ULK1	Ulk1
HTR1A	Htr1a
BECN1	Becn1
BECN2	Becn2
ATG12	Atg12
FXYD1	Fxyd1
ITGAV	Itgav
ITGB5	Itgb5
RADIL	Radil
ITGB3	Itgb3
LRP2	Lrp2
DENND5A	Dennd5a
BUD31	Bud31
EPN2	Epn2
TOP3A	Top3a
FLII	Flii
SHMT2	Shmt2
ARHGAP45	Arhgap45
ITGB8	Itgb8
PAK2	Pak2
PAK5	Pak5
IL13RA1	Il13ra1
IL13RA2	Il13ra2
LRCH2	Lrch2
CSF2RB	Csf2rb
SLC9A2	Slc9a2
PKMYT1	Pkmyt1
SLC7A10	Slc7a10
SLC7A9	Slc7a9
LRP3	Lrp3
MASP2	Masp2
RAB3C	Rab3c
FGF1	Fgf1
FGF7	Fgf7
MYRIP	Myrip
PIWIL2	Piwil2
FGF13	Fgf13
CSNK1E	Csnk1e
SLC35D2	Slc35d2
CSNK1D	Csnk1d
KISS1	Kiss1
KISS1R	Kiss1r
CRH	Crh
FAM135A	Fam135a
TEKT3	Tekt3
TEKT5	Tekt5
SLC12A1	Slc12a1
WNT9A	Wnt9a
WNT9B	Wnt9b
FLT3	Flt3
AGL	Agl
GSTM1	Gstm6
GSTM3	Gstm5
GSTM2	Gstm7
MYO3B	Myo3b
FEM1B	Fem1b
PCSK1	Pcsk1
CALML4	Calml4
CGNL1	Cgnl1
SIK2	Sik2
TIMM8B	Timm8b
LAYN	Layn
POLM	Polm
ARHGAP20	Arhgap20
NPHS1	Nphs1
PKP3	Pkp3
DNAJB5	Dnajb5
CASKIN1	Caskin1
RIPK3	Ripk3
IKBKB	Ikbkb
EPOR	Epor
IRAK1	Irak1
ELP1	Elp1
CIITA	Ciita
NWD1	Nwd1
NOD1	Nod1
SWSAP1	Swsap1
ZNF653	Zfp653
TYK2	Tyk2
NLRX1	Nlrx1
F3	F3
LRRC10	Lrrc10
RECQL5	Recql5
BLM	Blm
AR	Ar
TAC1	Tac1
PDGFC	Pdgfc
XPC	Xpc
SPINT1	Spint1
CTR9	Ctr9
MST1R	Mst1r
NLGN3	Nlgn3
SEMA3E	Sema3e
NEU3	Neu3
NEU4	Neu4
ZNF148	Zfp148
PGLYRP2	Pglyrp2
RPE65	Rpe65
SH2D3C	Sh2d3c
SOX2	Sox2
IFT46	Ift46
PTPN21	Ptpn21
HDC	Hdc
PRLR	Prlr
LEPR	Lepr
DNAJC6	Dnajc6
CDC37L1	Cdc37l1
CSF3R	Csf3r
BTBD10	Btbd10
IL6ST	Il6st
IL31RA	Il31ra
ANKRD55	Ankrd55
OSMR	Osmr
LIFR	Lifr
IL12RB2	Il12rb2
IL23R	Il23r
TTLL6	Ttll6
TTLL13	Ttll13
TTC30A	Ttc30b
IL11RA	Il11ra1
IL2RB	Il2rb
C1QTNF6	C1qtnf6
EBI3	Ebi3
IL4R	Il4ra
DOCK1	Dock1
IL21R	Il21r
CRLF1	Crlf1
IRAK3	Irak3
CBY1	Cby1
IL7R	Il7r
SPEF2	Spef2
NFIC	Nfic
MAP9	Map9
G6PC1	G6pc
GJE1	Gje1
CACNB4	Cacnb4
STAT2	Stat2
CAVIN1	Cavin1
TIAM1	Tiam1
MYOM3	Myom3
IL20RB	Il20rb
KIFBP	Kifbp
IL20	Il20
CRLF3	Crlf3
BOK	Bok
IL6R	Il6ra
CNTFR	Cntfr
IL2RG	Il2rg
PPP4R2	Ppp4r2
TERT	Tert
S100A5	S100a5
S100A16	S100a16
ATP2B3	Atp2b3
ATP2B4	Atp2b4
SLC8A3	Slc8a3
SP2	Sp2
RCOR1	Rcor1
ELP4	Elp4
CLPP	Clpp
SP3	Sp3
ITPA	Itpa
ALPG	Alpi
PLEKHB2	Plekhb2
MVB12B	Mvb12b
REST	Rest
MMRN2	Mmrn2
CBLN3	Cbln3
FBXO15	Fbxo15
EMILIN2	Emilin2
AQP11	Aqp11
SPTAN1	Sptan1
CCK	Cck
MYO18A	Myo18a
ADIPOQ	Adipoq
DCAKD	Dcakd
KLF5	Klf5
MYO9A	Myo9a
KLHL5	Klhl5
MYO15A	Myo15
FOXO1	Foxo1
PDZD3	Pdzd3
ODR4	Odr4
PPARGC1A	Ppargc1a
CADM1	Cadm1
MEGF10	Megf10
JAM3	Jam3
HMX2	Hmx2
CADM2	Cadm2
CADM3	Cadm3
OSBPL6	Osbpl6
DHX40	Dhx40
SMARCD3	Smarcd3
ZNF142	Zfp142
MKX	Mkx
HMX1	Hmx1
SLC5A9	Slc5a9
BCAR3	Bcar3
DNTTIP2	Dnttip2
CIDEB	Cideb
SLC18A2	Slc18a2
C1QL3	C1ql3
NR2C1	Nr2c1
ARRDC1	Arrdc1
SUV39H2	Suv39h2
SETDB2	Setdb2
ARL8B	Arl8b
SETMAR	Setmar
SETD2	Setd2
NSD1	Nsd1
NSD2	Nsd2
DDHD2	Ddhd2
RAMP2	Ramp2
EZH1	Ezh1
RETREG3	Retreg3
ANKRD33	Ankrd33
KMT2C	Kmt2c
SLC4A1AP	Slc4a1ap
GPAT3	Gpat3
KMT2A	Kmt2a
SETD1A	Setd1a
SETD1B	Setd1b
KMT2B	Kmt2b
KMT5A	Kmt5a
SETD7	Setd7
BICC1	Bicc1
TRIM3	Trim3
SETD5	Setd5
C1orf131	Setd6
NT5DC3	Nt5dc3
SMYD5	Smyd5
SMYD4	Smyd4
KMT5B	Kmt5b
KIF3A	Kif3a
ERBIN	Erbin
SFI1	Sfi1
SULF2	Sulf2
ZC3H7B	Zc3h7b
HSPB2	Hspb2
HSPB9	Hspb9
DIS3	Dis3
ANTXR2	Antxr2
SNX18	Snx18
FOCAD	Focad
PHF20L1	Phf20l1
HSPB6	Hspb6
SMARCD2	Smarcd2
KIF19	Kif19a
MARK2	Mark2
PLVAP	Plvap
NCF1	Ncf1
PARP6	Parp6
PLEK2	Plek2
SLC25A36	Slc25a36
NPY1R	Npy1r
PLXNA1	Plxna1
SLC9A7	Slc9a7
SLC9A8	Slc9a8
TMTC4	Tmtc4
SLC9A1	Slc9a1
SLC9A5	Slc9a5
SLC9A3	Slc9a3
GGT5	Ggt5
SLC9A6	Slc9a6
EPHX4	Ephx4
EPHX3	Ephx3
DMGDH	Dmgdh
RNF207	Rnf207
OPN3	Opn3
DEGS2	Degs2
IDO1	Ido1
NR3C1	Nr3c1
CAMTA1	Camta1
NR3C2	Nr3c2
ZNF488	Zfp488
FABP12	Fabp12
FABP9	Fabp9
FABP4	Fabp4
PMP2	Pmp2
FABP5	Fabp5
ALDH8A1	Aldh8a1
PRDM2	Prdm2
PRDM8	Prdm8
PRDM16	Prdm16
PRDM14	Prdm14
PRDM13	Prdm13
VPS39	Vps39
PRDM6	Prdm6
SMYD3	Smyd3
PRDM12	Prdm12
FABP6	Fabp6
MIF	Mif
DEPDC1B	Depdc1b
PSMB3	Psmb3
PRDX4	Prdx4
GLO1	Glo1
MKS1	Mks1
TMEM67	Tmem67
SOCS4	Socs4
ZEB2	Zeb2
DSCAM	Dscam
ADD2	Add2
SOCS6	Socs6
SOCS5	Socs5
RAB8A	Rab8a
SOCS7	Socs7
DOK1	Dok1
MMP13	Mmp13
DOK2	Dok2
TXN	Txn1
TXNDC8	Txndc8
PRDX1	Prdx1
ATF3	Atf3
DDIT4	Ddit4
CISH	Cish
RAB3D	Rab3d
NFIX	Nfix
LOXL4	Loxl4
CNRIP1	Cnrip1
PROM2	Prom2
CTSO	Ctso
KIF17	Kif17
RABEP1	Rabep1
HPGD	Hpgd
ZNF827	Zfp827
TBC1D20	Tbc1d20
PCDH18	Pcdh18
CACNB2	Cacnb2
SLC23A1	Slc23a1
RALGAPA1	Ralgapa1
MAP3K4	Map3k4
CPB1	Cpb1
CPA3	Cpa3
HSPG2	Hspg2
AGBL2	Agbl2
HORMAD2	Hormad2
SLC6A6	Slc6a6
NSUN6	Nsun6
ATCAY	Atcay
CEP170	Cep170
PRRC1	Prrc1
PARPBP	Parpbp
NDUFA12	Ndufa12
KSR2	Ksr2
PRKG2	Prkg2
SPNS3	Spns3
KCNH2	Kcnh2
PIKFYVE	Pikfyve
COL15A1	Col15a1
CFAP107	Cfap107
AADACL4	Aadacl4fm5
AADACL3	Aadacl3
BRPF1	Brpf1
MYCBPAP	Mycbpap
CALCRL	Calcrl
C1orf146	1700028K03Rik
OGG1	Ogg1
EXOSC1	Exosc1
APPL1	Appl1
APPL2	Appl2
KIF5A	Kif5a
SLC17A9	Slc17a9
DNAJC5	Dnajc5
MAPT	Mapt
KCNIP1	Kcnip1
SLC16A12	Slc16a12
ADIPOR1	Adipor1
ADIPOR2	Adipor2
CCDC73	Ccdc73
GDAP1L1	Gdap1l1
NDRG4	Ndrg4
CFAP43	Cfap43
CA4	Car4
GABRA6	Gabra6
LGSN	Lgsn
SLC7A5	Slc7a5
CA9	Car9
PTPRG	Ptprg
TNPO1	Tnpo1
TMEM174	Tmem174
TTI1	Tti1
ABCB11	Abcb11
STXBP1	Stxbp1
PINX1	Pinx1
PITX1	Pitx1
PCSK5	Pcsk5
UNC5C	Unc5c
UNC5D	Unc5d
XK	Xk
TPTE	Tpte
HIF1A	Hif1a
LRRC9	Lrrc9
PBRM1	Pbrm1
UNC45A	Unc45a
ERI1	Eri1
MBNL2	Mbnl2
MBNL3	Mbnl3
OSBPL10	Osbpl10
PROX2	Prox2
VIP	Vip
WNT7B	Wnt7b
MIR140	Mir140
BCL2L11	Bcl2l11
RAB3GAP1	Rab3gap1
ARHGAP5	Arhgap5
RPGR	Rpgr
DNAH1	Dnah1
GRPR	Grpr
SLAIN1	Slain1
NOS1AP	Nos1ap
NPM2	Npm2
BRD4	Brd4
LRPPRC	Lrpprc
MEOX1	Meox1
SLC26A1	Slc26a1
GOLGA2	Golga2
ZBTB3	Zbtb3
NDEL1	Ndel1
PRR16	Prr16
ABCB6	Abcb6
NIN	Nin
JUND	Jund
DAGLB	Daglb
COL4A2	Col4a2
JAK3	Jak3
TSC2	Tsc2
ART1	Art1
ART4	Art4
ART5	Art5
ART2BP	Art2b
ART3	Art3
DGLUCY	Dglucy
UGGT1	Uggt1
ARL14EP	Arl14ep
TANC2	Tanc2
CDHR2	Cdhr2
SULT6B1	Sult6b1
CYB5A	Cyb5a
ATP6V0A1	Atp6v0a1
AMY2A	Amy2a2
AMY1B	Amy1
NQO1	Nqo1
SORT1	Sort1
GRHL3	Grhl3
C16orf72	1810013L24Rik
XIRP2	Xirp2
FBN2	Fbn2
TMEM150C	Tmem150c
CBLIF	Cblif
SERP1	Serp1
FKBP11	Fkbp11
ADGRL3	Adgrl3
CA2	Car2
MARCHF1	Marchf1
CPD	Cpd
MAP3K9	Map3k9
PCNX1	Pcnx
CPLX2	Cplx2
PROKR2	Prokr2
PROKR1	Prokr1
PPP3R1	Ppp3r1
ACTN1	Actn1
TMC8	Tmc8
PANX1	Panx1
RBM12	Rbm12
FREM2	Frem2
FREM3	Frem3
PTRHD1	Ptrhd1
PRKAA2	Prkaa2
SOX6	Sox6
BARX2	Barx2
CERT1	Cert1
PACS1	Pacs1
SPRY1	Spry1
PACS2	Pacs2
PLCD3	Plcd3
NMT1	Nmt1
VILL	Vill
CRHR1	Crhr1
IL1RAPL1	Il1rapl1
TMEM169	Tmem169
LSAMP	Lsamp
GPR39	Gpr39
RLBP1	Rlbp1
FOXJ1	Foxj1
CRISP1	Crisp4
DIAPH2	Diaph2
PPP1R12A	Ppp1r12a
PPP1R12B	Ppp1r12b
LMBR1	Lmbr1
GNRHR	Gnrhr
KRAS	Kras
NRG2	Nrg2
DCAF6	Dcaf6
LMO7	Lmo7
CDX2	Cdx2
MEF2B	Mef2b
GEMIN6	Gemin6
PSKH1	Pskh1
MID2	Mid2
DYNC1I2	Dync1i2
DISC1	Disc1
NECAB1	Necab1
CHAT	Chat
NECTIN1	Nectin1
PTPRJ	Ptprj
EIF2AK4	Eif2ak4
AP2A1	Ap2a1
CXCL10	Cxcl10
CXCL9	Cxcl9
TMEM222	Tmem222
MAPK8IP3	Mapk8ip3
MED16	Med16
HHIPL1	Hhipl1
COX8A	Cox8a
TMPRSS13	Tmprss13
WNT3	Wnt3
CCDC40	Ccdc40
CARD14	Card14
GPER1	Gper1
ZSWIM8	Zswim8
CDC14A	Cdc14a
SLCO5A1	Slco5a1
DDR2	Ddr2
NCK1	Nck1
KCNH5	Kcnh5
SGPP1	Sgpp1
WDR89	Wdr89
GPHB5	Gphb5
SOS2	Sos2
L2HGDH	L2hgdh
CSF1	Csf1
TLCD4	Tlcd4
PTPRZ1	Ptprz1
LCAT	Lcat
ZNF319	Zfp319
HTR1D	Htr1d
RFLNB	Rflnb
CHRM3	Chrm3
CHRM4	Chrm4
CHRM1	Chrm1
CHST12	Chst12
FLRT3	Flrt3
GNAS	Gnas
ARHGEF9	Arhgef9
MSN	Msn
FGD5	Fgd5
MYO1C	Myo1c
SSTR1	Sstr1
CHRNA4	Chrna4
CHRNA6	Chrna6
CEP131	Cep131
SPTBN1	Sptbn1
EML6	Eml6
TRIM16	Trim16
CACNA1G	Cacna1g
CACNA1B	Cacna1b
ANTXRL	Antxrl
ANTXR1	Antxr1
SLC2A9	Slc2a9
SPOCK3	Spock3
ARHGAP29	Arhgap29
PCSK2	Pcsk2
PCDH17	Pcdh17
ADPGK	Adpgk
RTTN	Rttn
FUZ	Fuz
CYP27A1	Cyp27a1
SLC12A4	Slc12a4
CRISPLD1	Crispld1
TERF1	Terf1
NHS	Nhs
SYNGR1	Syngr1
CACNG2	Cacng2
FAM83F	Fam83f
CYTH4	Cyth4
DNAJC27	Dnajc27
DOC2B	Doc2b
TBX22	Tbx22
ZFP36L1	Zfp36l1
SLC1A2	Slc1a2
KCTD4	Kctd4
GMPPB	Gmppb
ACYP1	Acyp1
SERPINI1	Serpini1
RPH3A	Rph3a
DOC2GP	Doc2g
SYT6	Syt6
CHMP2B	Chmp2b
DGKA	Dgka
NXPH2	Nxph2
ESYT2	Esyt2
NMS	Nms
OACYLP	Oacyl
IFI27L2	Ifi27l2b
ADGRB1	Adgrb1
FOXK2	Foxk2
GPR107	Gpr107
PSD3	Psd3
PALMD	Palmd
RAVER2	Raver2
PAQR6	Paqr6
DCHS1	Dchs1
UPF1	Upf1
UPF2	Upf2
UPF3B	Upf3b
SMG1	Smg1
SMG6	Smg6
SMG7	Smg7
SKAP1	Skap1
COL14A1	Col14a1
COL12A1	Col12a1
AKAP11	Akap11
IQCC	Iqcc
TNFSF11	Tnfsf11
ITGA3	Itga3
GPR18	Gpr18
MROH1	Mroh1
