GeneName	MGI_id	FeatureType	HumanGeneName
Cic	MGI:1918972	Gene	CIC
Dhx34	MGI:1918973	Gene	DHX34
Aox3	MGI:1918974	Gene	AOX3P
Smug1	MGI:1918976	Gene	SMUG1
Stk11ip	MGI:1918978	Gene	STK11IP
Rgs12	MGI:1918979	Gene	RGS12
Vps11	MGI:1918982	Gene	VPS11
Susd2	MGI:1918983	Gene	SUSD2
Pan2	MGI:1918984	Gene	PAN2
Lrwd1	MGI:1918985	Gene	LRWD1
Mamdc2	MGI:1918988	Gene	MAMDC2
Nectin4	MGI:1918990	Gene	NECTIN4
Ulk3	MGI:1918992	Gene	ULK3
Coasy	MGI:1918993	Gene	COASY
Cul2	MGI:1918995	Gene	CUL2
Rgl3	MGI:1918996	Gene	RGL3
Adh6-ps1	MGI:1918999	Pseudogene	
R3hdm2	MGI:1919000	Gene	R3HDM2
1300002E11Rik	MGI:1919001	Gene	
Gtf3c2	MGI:1919002	Gene	GTF3C2
Tmprss6	MGI:1919003	Gene	TMPRSS6
Cyp2d40	MGI:1919004	Gene	CYP2D6
Dhdh	MGI:1919005	Gene	DHDH
Cpn2	MGI:1919006	Gene	CPN2
Selenoo	MGI:1919007	Gene	SELENOO
Vwa8	MGI:1919008	Gene	VWA8
Etnppl	MGI:1919010	Gene	ETNPPL
Amdhd1	MGI:1919011	Gene	AMDHD1
Tspan33	MGI:1919012	Gene	TSPAN33
C2cd2l	MGI:1919014	Gene	C2CD2L
Raver1	MGI:1919016	Gene	RAVER1
Tysnd1	MGI:1919017	Gene	TYSND1
Vwce	MGI:1919018	Gene	VWCE
Bbs10	MGI:1919019	Gene	BBS10
Ap2b1	MGI:1919020	Gene	AP2B1
Plbd2	MGI:1919022	Gene	PLBD2
Ugt2b1	MGI:1919023	Gene	UGT2B10
Shroom1	MGI:1919024	Gene	SHROOM1
Inhca	MGI:1919025	Gene	
Tha1	MGI:1919026	Gene	THA1P
Ing3	MGI:1919027	Gene	ING3
Klhl5	MGI:1919028	Gene	KLHL5
Marchf8	MGI:1919029	Gene	MARCHF8
Isyna1	MGI:1919030	Gene	ISYNA1
Slc16a14	MGI:1919031	Gene	SLC16A14
Pdgfd	MGI:1919035	Gene	PDGFD
Trnau1ap	MGI:1919037	Gene	TRNAU1AP
Taf5l	MGI:1919039	Gene	TAF5L
Cpa4	MGI:1919041	Gene	CPA4
Ints12	MGI:1919043	Gene	INTS12
Pitpnc1	MGI:1919045	Gene	PITPNC1
Chst13	MGI:1919047	Gene	CHST13
Ptcd1	MGI:1919049	Gene	ATP5MF-PTCD1
Plekhf2	MGI:1919051	Gene	PLEKHF2
Slc25a18	MGI:1919053	Gene	SLC25A18
Mtfr2	MGI:1919054	Gene	MTFR2
Nup93	MGI:1919055	Gene	NUP93
2610017A05Rik	MGI:1919056	Gene	
Tars2	MGI:1919057	Gene	TARS2
Ranbp3	MGI:1919060	Gene	RANBP3
Mrps27	MGI:1919064	Gene	MRPS27
2810414N06Rik	MGI:1919065	Gene	
Rnf180	MGI:1919066	Gene	RNF180
Tmem50a	MGI:1919067	Gene	TMEM50A
3200001D21Rik	MGI:1919068	Gene	
Kif23	MGI:1919069	Gene	KIF23
Dync2i2	MGI:1919070	Gene	DYNC2I2
3300002A11Rik	MGI:1919073	Gene	
1700006A11Rik	MGI:1919074	Gene	
1700001J04Rik	MGI:1919075	Gene	
1700001F09Rik	MGI:1919076	Gene	
Lrrc34	MGI:1919077	Gene	LRRC34
Gtf2a1l	MGI:1919078	Gene	GTF2A1L
Ddi1	MGI:1919079	Gene	DDI1
Pdilt	MGI:1919080	Gene	PDILT
Iqcm	MGI:1919081	Gene	IQCM
Csl	MGI:1919082	Gene	CS
Dcaf7	MGI:1919083	Gene	DCAF7
Zbtb43	MGI:1919084	Gene	ZBTB43
Lancl2	MGI:1919085	Gene	LANCL2
Shcbp1l	MGI:1919086	Gene	SHCBP1L
1700003E16Rik	MGI:1919087	Gene	C2orf81
Phf7	MGI:1919088	Gene	PHF7
Osgin1	MGI:1919089	Gene	OSGIN1
Tekt4	MGI:1919090	Gene	TEKT4
Tcp11x2	MGI:1919091	Gene	NXF2
R3hcc1	MGI:1919093	Gene	R3HCC1
Nupl1	MGI:1919094	Gene	NUP58
Erich3	MGI:1919095	Gene	ERICH3
Syce2	MGI:1919096	Gene	SYCE2
Btbd35f1	MGI:1919097	Gene	
1700024J04Rik	MGI:1919098	Gene	
Clip4	MGI:1919100	Gene	CLIP4
Pdia6	MGI:1919103	Gene	PDIA6
Dpep3	MGI:1919104	Gene	DPEP3
1700015O11Rik	MGI:1919105	Gene	
Slc17a9	MGI:1919107	Gene	SLC17A9
Cfap52	MGI:1919110	Gene	CFAP52
Zswim2	MGI:1919111	Gene	ZSWIM2
Gpr160	MGI:1919112	Gene	GPR160
Tex44	MGI:1919113	Gene	TEX44
Fam217a	MGI:1919114	Gene	FAM217A
Fbxo30	MGI:1919115	Gene	FBXO30
1700016G22Rik	MGI:1919117	Gene	
Thegl	MGI:1919118	Gene	THEGL
Serpinb12	MGI:1919119	Gene	SERPINB12
Cfap45	MGI:1919120	Gene	CFAP45
Aox4	MGI:1919122	Gene	
2310003N18Rik	MGI:1919123	Gene	
Mab21l4	MGI:1919124	Gene	MAB21L4
Cenpu	MGI:1919126	Gene	CENPU
Efhc1	MGI:1919127	Gene	EFHC1
Fam83d	MGI:1919128	Gene	FAM83D
Acsl5	MGI:1919129	Gene	ACSL5
Apmap	MGI:1919131	Gene	APMAP
Serinc2	MGI:1919132	Gene	SERINC2
Coq2	MGI:1919133	Gene	COQ2
Chit1	MGI:1919134	Gene	CHIT1
Faap100	MGI:1919135	Gene	FAAP100
Ppm1j	MGI:1919137	Gene	PPM1J
Krt33a	MGI:1919138	Gene	KRT33A
Epn3	MGI:1919139	Gene	EPN3
Mad2l2	MGI:1919140	Gene	MAD2L2
Cdadc1	MGI:1919141	Gene	CDADC1
Noxo1	MGI:1919143	Gene	NOXO1
Pla2g4e	MGI:1919144	Gene	PLA2G4E
Lypd6b	MGI:1919147	Gene	LYPD6B
Apol9b	MGI:1919148	Gene	APOL3
Tmem106b	MGI:1919150	Gene	TMEM106B
Fam219a	MGI:1919151	Gene	FAM219A
Ces2f	MGI:1919153	Gene	CES2
Paqr7	MGI:1919154	Gene	PAQR7
Zswim8	MGI:1919156	Gene	ZSWIM8
Serpina9	MGI:1919157	Gene	SERPINA9
Cldn23	MGI:1919158	Gene	CLDN23
Haus5	MGI:1919159	Gene	HAUS5
Plpp5	MGI:1919160	Gene	PLPP5
Bdh1	MGI:1919161	Gene	BDH1
Tmem79	MGI:1919163	Gene	TMEM79
Antxr2	MGI:1919164	Gene	ANTXR2
Dus4l	MGI:1919166	Gene	DUS4L
Zcchc24	MGI:1919168	Gene	ZCCHC24
Epgn	MGI:1919170	Gene	EPGN
Borcs6	MGI:1919173	Gene	BORCS6
Tube1	MGI:1919174	Gene	TUBE1
Tmem123	MGI:1919179	Gene	TMEM123
2310043M15Rik	MGI:1919180	Gene	
Ift88os	MGI:1919181	Gene	
Ephx3	MGI:1919182	Gene	EPHX3
Cipc	MGI:1919185	Gene	CIPC
Rpusd1	MGI:1919186	Gene	RPUSD1
Apol6	MGI:1919189	Gene	APOL6
Cars2	MGI:1919191	Gene	CARS2
Myof	MGI:1919192	Gene	MYOF
Tom1l1	MGI:1919193	Gene	TOM1L1
Endod1	MGI:1919196	Gene	ENDOD1
Tmem94	MGI:1919197	Gene	TMEM94
Cers5	MGI:1919199	Gene	CERS5
Nanog	MGI:1919200	Gene	NANOG
Gpc2	MGI:1919201	Gene	GPC2
Riox1	MGI:1919202	Gene	RIOX1
Suds3	MGI:1919204	Gene	SUDS3
Ist1	MGI:1919205	Gene	IST1
Rnf135	MGI:1919206	Gene	RNF135
Ints11	MGI:1919207	Gene	INTS11
Myh14	MGI:1919210	Gene	MYH14
Castor1	MGI:1919212	Gene	CASTOR1
Cdca4	MGI:1919213	Gene	CDCA4
Atad3a	MGI:1919214	Gene	ATAD3A
Nkiras2	MGI:1919216	Gene	NKIRAS2
Mageb16	MGI:1919217	Gene	MAGEB16
Wdr73	MGI:1919218	Gene	WDR73
Chchd2l	MGI:1919220	Gene	ZBED5
Zswim1	MGI:1919221	Gene	ZSWIM1
Rbpms2	MGI:1919223	Gene	RBPMS2
Prmt3	MGI:1919224	Gene	PRMT3
Fam53a	MGI:1919225	Gene	FAM53A
Zdhhc13	MGI:1919227	Gene	ZDHHC13
Ppp2r2a	MGI:1919228	Gene	PPP2R2A
Prr23a3	MGI:1919229	Gene	C3orf56
Utp3	MGI:1919230	Gene	UTP3
Tdrd12	MGI:1919231	Gene	TDRD12
Snx10	MGI:1919232	Gene	SNX10
Tmco6	MGI:1919233	Gene	TMCO6
Sars2	MGI:1919234	Gene	SARS2
Acad10	MGI:1919235	Gene	ACAD10
Ddx28	MGI:1919236	Gene	DDX28
Esco2	MGI:1919238	Gene	ESCO2
Rpusd4	MGI:1919239	Gene	RPUSD4
Ddx54	MGI:1919240	Gene	DDX54
Ercc8	MGI:1919241	Gene	ERCC8
Hectd2os	MGI:1919243	Gene	
Cnn3	MGI:1919244	Gene	CNN3
Erv3	MGI:1919245	Gene	
Fthl17a	MGI:1919246	Gene	FTHL17
Smg9	MGI:1919247	Gene	SMG9
Slc25a35	MGI:1919248	Gene	SLC25A35
Lmntd2	MGI:1919250	Gene	LMNTD2
Synpr	MGI:1919253	Gene	SYNPR
C1qtnf1	MGI:1919254	Gene	C1QTNF1
Fndc3b	MGI:1919257	Gene	FNDC3B
Zfyve19	MGI:1919258	Gene	ZFYVE19
Serpinb9g	MGI:1919260	Gene	SERPINB9
1600020E01Rik	MGI:1919262	Gene	
Btbd17	MGI:1919264	Gene	BTBD17
Hhipl1	MGI:1919265	Gene	HHIPL1
Tedc2	MGI:1919266	Gene	TEDC2
Cyb5r1	MGI:1919267	Gene	CYB5R1
Fundc1	MGI:1919268	Gene	FUNDC1
1500005C15Rik	MGI:1919269	Gene	
Zfp654	MGI:1919270	Gene	ZNF654
Slc35f2	MGI:1919272	Gene	SLC35F2
Cyb561d1	MGI:1919273	Gene	CYB561D1
1600012P17Rik	MGI:1919275	Gene	
Trmu	MGI:1919276	Gene	TRMU
Slc39a4	MGI:1919277	Gene	SLC39A4
Cnpy3	MGI:1919279	Gene	CNPY3
1600025M17Rik	MGI:1919280	Gene	
Pdxp	MGI:1919282	Gene	PDXP
Tsc22d2	MGI:1919283	Gene	TSC22D2
Eny2	MGI:1919286	Gene	ENY2
Klhl21	MGI:1919288	Gene	KLHL21
Mccc1	MGI:1919289	Gene	MCCC1
Cdhr5	MGI:1919290	Gene	CDHR5
Alkbh4	MGI:1919291	Gene	ALKBH4
Cotl1	MGI:1919292	Gene	COTL1
Sulf2	MGI:1919293	Gene	SULF2
Mfsd4b2	MGI:1919295	Pseudogene	MFSD4B
Urgcp	MGI:1919296	Gene	URGCP
Ddx42	MGI:1919297	Gene	DDX42
Tnfrsf13c	MGI:1919299	Gene	TNFRSF13C
Poglut2	MGI:1919300	Gene	POGLUT2
Pard3b	MGI:1919301	Gene	PARD3B
Tmub2	MGI:1919303	Gene	TMUB2
Cyp4f18	MGI:1919304	Gene	CYP4F3
Slc38a10	MGI:1919305	Gene	SLC38A10
1810055G02Rik	MGI:1919306	Gene	C11orf24
Phf10	MGI:1919307	Gene	PHF10
Igsf5	MGI:1919308	Gene	IGSF5
Tmem236	MGI:1919309	Gene	TMEM236
Aopep	MGI:1919311	Gene	AOPEP
Rap2c	MGI:1919315	Gene	RAP2C
Slc5a11	MGI:1919316	Gene	SLC5A11
Cnot2	MGI:1919318	Gene	CNOT2
2010315B03Rik	MGI:1919321	Gene	ZNF101
Anks4b	MGI:1919324	Gene	ANKS4B
Ogfr	MGI:1919325	Gene	OGFR
Mospd4	MGI:1919326	Pseudogene	
Gcnt3	MGI:1919327	Gene	GCNT3
2010013B24Rik	MGI:1919329	Gene	
Sapcd2	MGI:1919330	Gene	SAPCD2
Snx12	MGI:1919331	Gene	SNX12
Cyp2c55	MGI:1919332	Gene	CYP2C18
Pigx	MGI:1919334	Gene	PIGX
Osgepl1	MGI:1919335	Gene	OSGEPL1
Slc39a5	MGI:1919336	Gene	SLC39A5
Ush1c	MGI:1919338	Gene	USH1C
Entpd8	MGI:1919340	Gene	ENTPD8
Snhg7	MGI:1919341	Gene	SNHG7
2010320M18Rik	MGI:1919343	Gene	
Ugt2a3	MGI:1919344	Gene	UGT2A3
Eef1akmt2	MGI:1919346	Gene	EEF1AKMT2
Cracdl	MGI:1919347	Gene	CRACDL
Tmem68	MGI:1919348	Gene	TMEM68
Elp6	MGI:1919349	Gene	ELP6
Megf6	MGI:1919351	Gene	MEGF6
Dusp11	MGI:1919352	Gene	DUSP11
Aplf	MGI:1919353	Gene	APLF
2010106C02Rik	MGI:1919354	Gene	
Jmjd8	MGI:1919356	Gene	JMJD8
Dscc1	MGI:1919357	Gene	DSCC1
Ddhd2	MGI:1919358	Gene	DDHD2
Ppp1r14d	MGI:1919362	Gene	PPP1R14D
Adck1	MGI:1919363	Gene	ADCK1
Zbed3	MGI:1919364	Gene	ZBED2
Naa50	MGI:1919367	Gene	NAA50
Tpx2	MGI:1919369	Gene	TPX2
2010308F09Rik	MGI:1919372	Gene	
Ccdc71l	MGI:1919373	Gene	CCDC71L
Seh1l	MGI:1919374	Gene	SEH1L
Amer2	MGI:1919375	Gene	AMER2
2610008E11Rik	MGI:1919378	Gene	
Pex13	MGI:1919379	Gene	PEX13
2010310C07Rik	MGI:1919381	Gene	
Trub1	MGI:1919383	Gene	TRUB1
2600014E21Rik	MGI:1919384	Gene	
Pygo1	MGI:1919385	Gene	PYGO1
Chst14	MGI:1919386	Gene	CHST14
Wdsub1	MGI:1919387	Gene	WDSUB1
2610044O15Rik8	MGI:1919389	Gene	
Cep89	MGI:1919390	Gene	CEP89
Adpgk	MGI:1919391	Gene	ADPGK
Slc37a3	MGI:1919394	Gene	SLC37A3
Zbtb46	MGI:1919397	Gene	ZBTB46
Tdrp	MGI:1919398	Gene	TDRP
Strada	MGI:1919399	Gene	STRADA
Rfc5	MGI:1919401	Gene	RFC5
Rexo5	MGI:1919402	Gene	REXO5
Zfp157	MGI:1919404	Gene	
Cenpn	MGI:1919405	Gene	CENPN
Lysmd1	MGI:1919409	Gene	LYSMD1
Tmem163	MGI:1919410	Gene	TMEM163
Dhx36	MGI:1919412	Gene	DHX36
Rbmx2	MGI:1919414	Gene	RBMX2
Thumpd2	MGI:1919417	Gene	THUMPD2
Aifm3	MGI:1919418	Gene	AIFM3
Trim29	MGI:1919419	Gene	TRIM29
Chchd4	MGI:1919420	Gene	CHCHD4
Shq1	MGI:1919421	Gene	SHQ1
Mfsd8	MGI:1919425	Gene	MFSD8
Fbxl2	MGI:1919429	Gene	FBXL2
Zfp661	MGI:1919430	Gene	ZNF2
Nsun4	MGI:1919431	Gene	NSUN4
Snx6	MGI:1919433	Gene	SNX6
Klhl35	MGI:1919434	Gene	KLHL35
Dbndd1	MGI:1919435	Gene	DBNDD1
Bag6	MGI:1919439	Gene	BAG6
2510009E07Rik	MGI:1919440	Gene	C3orf70
Scaf11	MGI:1919443	Gene	SCAF11
Fbxl20	MGI:1919444	Gene	FBXL20
Supt7l	MGI:1919445	Gene	SUPT7L
Mtrex	MGI:1919448	Gene	MTREX
Mms19	MGI:1919449	Gene	MMS19
Otud6b	MGI:1919451	Gene	OTUD6B
2610507I01Rik	MGI:1919453	Gene	
Eml2	MGI:1919455	Gene	EML2
1700016L21Rik	MGI:1919458	Gene	
1700025C18Rik	MGI:1919461	Gene	
1700003N22Rik	MGI:1919464	Pseudogene	
1700001P01Rik	MGI:1919465	Gene	C17orf98
Kbtbd8os	MGI:1919467	Gene	
Spata31d1a	MGI:1919469	Gene	SPATA31D1
1700021F07Rik	MGI:1919471	Gene	C20orf85
1700001J11Rik	MGI:1919474	Pseudogene	
1700003M07Rik	MGI:1919475	Gene	
1700019L13Rik	MGI:1919476	Gene	
1700017G19Rik	MGI:1919477	Gene	
Lncbate3	MGI:1919479	Gene	
1700018A23Rik	MGI:1919481	Gene	
1700021J08Rik	MGI:1919485	Gene	
Tsnaxip1	MGI:1919486	Gene	TSNAXIP1
1700007M16Rik	MGI:1919487	Gene	
Tbc1d5	MGI:1919488	Gene	TBC1D5
Parp14	MGI:1919489	Gene	PARP14
1600014C23Rik	MGI:1919490	Gene	
1700006H20Rik	MGI:1919491	Gene	
1700012D01Rik	MGI:1919493	Gene	
1600014C10Rik	MGI:1919494	Gene	C19orf12
1700018M17Rik	MGI:1919495	Pseudogene	
1700030C12Rik	MGI:1919496	Gene	
1700014B07Rik	MGI:1919498	Gene	
1700019G24Rik	MGI:1919499	Gene	
1700029E06Rik	MGI:1919500	Gene	
1700022A21Rik	MGI:1919502	Pseudogene	
1700030K09Rik	MGI:1919504	Gene	C19orf44
1700006H21Rik	MGI:1919507	Gene	
Kcnk10	MGI:1919508	Gene	KCNK10
1700030M09Rik	MGI:1919509	Gene	
1700030F04Rik	MGI:1919513	Gene	
1700029J03Rik	MGI:1919514	Gene	
Tram1	MGI:1919515	Gene	TRAM1
Lrrc8e	MGI:1919517	Gene	LRRC8E
1700027F06Rik	MGI:1919518	Gene	
Cda	MGI:1919519	Gene	CDA
1700026N04Rik	MGI:1919521	Gene	
Dnajc24	MGI:1919522	Gene	DNAJC24
Smim24	MGI:1919523	Gene	SMIM24
1700027H10Rik	MGI:1919524	Gene	
2200002D01Rik	MGI:1919525	Gene	C19orf33
1700025M24Rik	MGI:1919526	Gene	
Sh2d4a	MGI:1919531	Gene	SH2D4A
1810062G17Rik	MGI:1919532	Gene	
1700029B24Rik	MGI:1919533	Gene	
LTO1	MGI:1919534	Gene	LTO1
1810073O08Rik	MGI:1919535	Gene	
1700030O20Rik	MGI:1919536	Gene	
Plekhf1	MGI:1919537	Gene	PLEKHF1
Malat1	MGI:1919539	Gene	MALAT1
Lsm11	MGI:1919540	Gene	LSM11
Sntg2	MGI:1919541	Gene	SNTG2
2210009P08Rik	MGI:1919542	Gene	
Nkd2	MGI:1919543	Gene	NKD2
Rusc1	MGI:1919546	Gene	RUSC1
Shisal1	MGI:1919551	Gene	SHISAL1
Cyp2c65	MGI:1919553	Gene	CYP2C19
2210404E10Rik	MGI:1919555	Gene	
Zfp777	MGI:1919556	Gene	ZNF777
2510002D24Rik	MGI:1919557	Gene	C22orf39
Brf1	MGI:1919558	Gene	BRF1
Tmem158	MGI:1919559	Gene	TMEM158
Fryl	MGI:1919563	Gene	FRYL
Ccdc74a	MGI:1919565	Gene	CCDC74A
2310008N11Rik	MGI:1919566	Gene	
Asb17os	MGI:1919567	Gene	
Kifbp	MGI:1919570	Gene	KIFBP
Asb6	MGI:1919573	Gene	ASB6
Plxdc1	MGI:1919574	Gene	PLXDC1
2500004C02Rik	MGI:1919576	Gene	
Pcf11	MGI:1919579	Gene	PCF11
Klhl40	MGI:1919580	Gene	KLHL40
Palld	MGI:1919583	Gene	PALLD
Iars2	MGI:1919586	Gene	IARS2
Tnfsf13os	MGI:1919587	Gene	
Wdr89	MGI:1919588	Gene	WDR89
2010009K17Rik	MGI:1919590	Gene	
Lsm12	MGI:1919592	Gene	LSM12
Usp36	MGI:1919594	Gene	USP36
Amer1	MGI:1919595	Gene	AMER1
Aif1l	MGI:1919598	Gene	AIF1L
Dusp3	MGI:1919599	Gene	DUSP3
Zc2hc1c	MGI:1919600	Gene	ZC2HC1C
Zfyve27	MGI:1919602	Gene	ZFYVE27
Ttc4	MGI:1919604	Gene	TTC4
Cdpf1	MGI:1919605	Gene	CDPF1
2210016L21Rik	MGI:1919607	Gene	C12orf43
2210020O09Rik	MGI:1919609	Gene	
Ces2g	MGI:1919611	Gene	CES2
2210011K15Rik	MGI:1919615	Gene	
Borcs8	MGI:1919618	Gene	BORCS8
Ehd4	MGI:1919619	Gene	EHD4
2210408I21Rik	MGI:1919621	Gene	KIAA0825
Psca	MGI:1919623	Gene	PSCA
2210412B16Rik	MGI:1919625	Gene	
2210409E12Rik	MGI:1919631	Pseudogene	
Cnfn	MGI:1919633	Gene	CNFN
2610035D17Rik	MGI:1919636	Gene	
Psme3ip1	MGI:1919637	Gene	PSME3IP1
Ripk4	MGI:1919638	Gene	RIPK4
Cdkn3	MGI:1919641	Gene	CDKN3
Tmem175	MGI:1919642	Gene	TMEM175
Faim2	MGI:1919643	Gene	FAIM2
2610028E06Rik	MGI:1919645	Gene	
Rbm12b1	MGI:1919647	Gene	RBM12B
Brap	MGI:1919649	Gene	BRAP
Pinx1	MGI:1919650	Gene	PINX1
2610016A17Rik	MGI:1919653	Gene	
Wdr44	MGI:1919654	Gene	WDR44
2310081O03Rik	MGI:1919656	Gene	
Cyb5rl	MGI:1919657	Gene	CYB5RL
Kcnmb2	MGI:1919663	Gene	KCNMB2
Sgo1	MGI:1919665	Gene	SGO1
Lrpprc	MGI:1919666	Gene	LRPPRC
Zfta	MGI:1919667	Gene	ZFTA
Thoc1	MGI:1919668	Gene	THOC1
Fam72a	MGI:1919669	Gene	FAM72A
Rbm33	MGI:1919670	Gene	RBM33
Ttc30b	MGI:1919671	Gene	TTC30A
Katnbl1	MGI:1919675	Gene	KATNBL1
Dnajc25	MGI:1919679	Gene	DNAJC25
B4gat1	MGI:1919680	Gene	B4GAT1
Ceacam18	MGI:1919681	Gene	CEACAM18
Spink5	MGI:1919682	Gene	SPINK5
Rab38	MGI:1919683	Gene	RAB38
Lypd3	MGI:1919684	Gene	LYPD3
Tbcd	MGI:1919686	Gene	TBCD
Prr5l	MGI:1919696	Gene	PRR5L
Ccdc71	MGI:1919704	Gene	CCDC71
Htatsf1	MGI:1919709	Gene	HTATSF1
2610011E03Rik	MGI:1919710	Gene	
Prcp	MGI:1919711	Gene	PRCP
Rrp1b	MGI:1919712	Gene	RRP1B
Zfp131	MGI:1919715	Gene	ZNF131
Accs	MGI:1919717	Gene	ACCS
2610204G07Rik	MGI:1919718	Gene	
Slc16a10	MGI:1919722	Gene	SLC16A10
Ssbp3	MGI:1919725	Gene	SSBP3
Tmem87b	MGI:1919727	Gene	TMEM87B
Hsdl2	MGI:1919729	Gene	HSDL2
2610203C22Rik	MGI:1919731	Gene	
Acbd6	MGI:1919732	Gene	ACBD6
2610300M13Rik	MGI:1919734	Gene	
Ccdc141	MGI:1919735	Gene	CCDC141
Obi1	MGI:1919736	Gene	OBI1
Aida	MGI:1919737	Gene	AIDA
Smg1	MGI:1919742	Gene	SMG1
2610206C17Rik	MGI:1919745	Gene	
Sec24c	MGI:1919746	Gene	SEC24C
Zc3h15	MGI:1919747	Gene	ZC3H15
Ier5l	MGI:1919750	Gene	IER5L
Cwf19l1	MGI:1919752	Gene	CWF19L1
2610507B11Rik	MGI:1919753	Gene	KIAA0100
Dzip1l	MGI:1919757	Gene	DZIP1L
2610316D01Rik	MGI:1919761	Gene	
Sting1	MGI:1919762	Gene	STING1
Fgfbp3	MGI:1919764	Gene	FGFBP3
Wdr43	MGI:1919765	Gene	WDR43
2610307P16Rik	MGI:1919768	Gene	
Pip4p2	MGI:1919769	Gene	PIP4P2
Atxn7l2	MGI:1919772	Gene	ATXN7L2
2700003A03Rik	MGI:1919778	Gene	
Sap130	MGI:1919782	Gene	SAP130
Rcc2	MGI:1919784	Gene	RCC2
Aldh1b1	MGI:1919785	Gene	ALDH1B1
Tagap1	MGI:1919786	Gene	TAGAP
Cdca2	MGI:1919787	Gene	CDCA2
Heatr6	MGI:1919790	Gene	HEATR6
Pgam5	MGI:1919792	Gene	PGAM5
Mvb12b	MGI:1919793	Gene	MVB12B
Exosc6	MGI:1919794	Gene	EXOSC6
Reep4	MGI:1919799	Gene	REEP4
Hsdl1	MGI:1919802	Gene	HSDL1
2700046A07Rik	MGI:1919803	Gene	
Utp14a	MGI:1919804	Gene	UTP14A
Shisa9	MGI:1919805	Gene	SHISA9
Zfp566	MGI:1919806	Gene	ZNF566
Naalad2	MGI:1919810	Gene	NAALAD2
Pcbd2	MGI:1919812	Gene	PCBD2
2700068H02Rik	MGI:1919813	Gene	
Uaca	MGI:1919815	Gene	UACA
Lin9	MGI:1919818	Gene	LIN9
Bbs5	MGI:1919819	Gene	BBS5
Spats2	MGI:1919822	Gene	SPATS2
Zc3h14	MGI:1919824	Gene	ZC3H14
2700054A10Rik	MGI:1919828	Gene	
Zup1	MGI:1919830	Gene	ZUP1
Edrf1	MGI:1919831	Gene	EDRF1
Cul4b	MGI:1919834	Gene	CUL4B
Lypd1	MGI:1919835	Gene	LYPD1
Pan3	MGI:1919837	Gene	PAN3
2700012I20Rik	MGI:1919838	Gene	
Ppme1	MGI:1919840	Gene	PPME1
Auts2	MGI:1919847	Gene	AUTS2
Pdia5	MGI:1919849	Gene	PDIA5
Frmd4a	MGI:1919850	Gene	FRMD4A
2700033N17Rik	MGI:1919853	Gene	
Car10	MGI:1919855	Gene	CA10
Usp13	MGI:1919857	Gene	USP13
2700069I18Rik	MGI:1919858	Gene	
2700070H01Rik	MGI:1919859	Gene	
Zfp655	MGI:1919861	Gene	ZNF655
Hpf1	MGI:1919862	Gene	HPF1
Pih1d2	MGI:1919864	Gene	PIH1D2
Anks3	MGI:1919865	Gene	ANKS3
2700073G19Rik	MGI:1919868	Gene	
Pdzd11	MGI:1919871	Gene	PDZD11
2700078F05Rik	MGI:1919876	Gene	
Haghl	MGI:1919877	Gene	HAGHL
Hoxaas3	MGI:1919878	Gene	HOXA-AS3
Hspa12b	MGI:1919880	Gene	HSPA12B
Smim18	MGI:1919882	Gene	SMIM18
Tdrkh	MGI:1919884	Gene	TDRKH
Lins1	MGI:1919885	Gene	LINS1
Eme2	MGI:1919889	Gene	EME2
Mex3a	MGI:1919890	Gene	MEX3A
Mob2	MGI:1919891	Gene	MOB2
2700089I24Rik	MGI:1919897	Gene	
Smc2os	MGI:1919898	Gene	
Tmem209	MGI:1919899	Gene	TMEM209
Mtrfr	MGI:1919900	Gene	MTRFR
Ccdc12	MGI:1919904	Gene	CCDC12
Snhg5	MGI:1919905	Gene	SNHG5
Ints8	MGI:1919906	Gene	INTS8
Selenoh	MGI:1919907	Gene	SELENOH
2700097O09Rik	MGI:1919908	Gene	
Serp2	MGI:1919911	Gene	SERP2
Dis3	MGI:1919912	Gene	DIS3
2810039B14Rik	MGI:1919915	Gene	
Skida1	MGI:1919918	Gene	SKIDA1
2810032G03Rik	MGI:1919919	Gene	
2810029C07Rik	MGI:1919920	Gene	
2810048H02Rik	MGI:1919921	Gene	
Zfp518a	MGI:1919922	Gene	ZNF518A
Adipor1	MGI:1919924	Gene	ADIPOR1
2810049E08Rik	MGI:1919927	Gene	
Mir99ahg	MGI:1919929	Gene	
Proser1	MGI:1919933	Gene	PROSER1
Dnajc6	MGI:1919935	Gene	DNAJC6
Usp24	MGI:1919936	Gene	USP24
Fam110d	MGI:1919940	Gene	FAM110D
Calhm2	MGI:1919941	Gene	CALHM2
Hnrnpll	MGI:1919942	Gene	HNRNPLL
Zcchc12	MGI:1919943	Gene	ZCCHC12
Lime1	MGI:1919949	Gene	LIME1
Zfp618	MGI:1919950	Gene	ZNF618
Zcchc17	MGI:1919955	Gene	ZCCHC17
C1qtnf6	MGI:1919959	Gene	C1QTNF6
Angptl1	MGI:1919963	Gene	ANGPTL1
Nup37	MGI:1919964	Gene	NUP37
2810047C21Rik1	MGI:1919966	Gene	
Zfp248	MGI:1919970	Gene	ZNF248
Fam98a	MGI:1919972	Gene	FAM98A
Tbcc	MGI:1919976	Gene	TBCC
B3gat3	MGI:1919977	Gene	B3GAT3
Cdc42se2	MGI:1919979	Gene	CDC42SE2
Eldr	MGI:1919985	Gene	ELDR
Tmx1	MGI:1919986	Gene	TMX1
